AHST440,"[b'FMST' b'AAAS' b'AHST' b'ENGL' b'GSWS' b'HIST' b'PSCI' b'CLTR' b'RELC'
 b'MUSC']","[0.81306    0.8067543  0.7900324  0.01152743 0.00509612 0.00430174
 0.00399926 0.00350701 0.00340918 0.00274853]"
AHST459,"[b'AHST' b'ENGL' b'WRTG' b'RELC' b'DANC' b'HIST' b'CLTR' b'PSCI' b'MUSC'
 b'CASC']","[9.2254323e-01 5.3755934e-03 2.3489266e-03 1.8296097e-03 5.7490618e-04
 5.4162758e-04 4.6564339e-04 4.6281418e-04 4.5642685e-04 3.3077304e-04]"
AHST475,"[b'AHST' b'ENGL' b'WRTG' b'HIST' b'CLTR' b'AAAS' b'GSWS' b'RELC' b'DANC'
 b'ANTH']","[9.0335840e-01 7.0300838e-04 2.4267528e-04 1.7279779e-04 1.6267327e-04
 7.9588637e-05 4.6925616e-05 3.7012636e-05 2.8887020e-05 2.1159951e-05]"
AHST546,"[b'AHST' b'EHUM' b'ENGL' b'HIST' b'CSC' b'CLTR' b'CASC' b'PHIL' b'LING'
 b'WRTG']","[7.7980256e-01 6.7909127e-01 2.6391463e-03 1.0504134e-03 2.9930571e-04
 2.3835005e-04 1.9157464e-04 1.8007126e-04 1.7894895e-04 1.6838056e-04]"
ANTH101,"[b'PSCI' b'ENGL' b'WRTG' b'HIST' b'RELC' b'ANTH' b'GSWS' b'DMST' b'CLTR'
 b'AAAS']","[0.03070402 0.02146973 0.01870735 0.01637473 0.01362248 0.00963896
 0.00960006 0.00521788 0.00415915 0.00363385]"
ANTH202,"[b'ANTH' b'PSCI' b'ENGL' b'BCSC' b'WRTG' b'INTR' b'CASC' b'OPT' b'MUSC'
 b'CSC']","[0.97237736 0.09529833 0.06719168 0.02497332 0.02295258 0.02047701
 0.0203413  0.01724464 0.01700013 0.01606776]"
ANTH204,"[b'ANTH' b'PSCI' b'ENGL' b'HIST' b'WRTG' b'GSWS' b'AHST' b'RELC' b'BCSC'
 b'ECON']","[9.4764996e-01 1.1595355e-02 7.2922041e-03 6.6450806e-03 4.4474821e-03
 2.1597329e-03 1.7340941e-03 1.2728076e-03 1.2548610e-03 7.5183704e-04]"
ANTH205,"[b'ANTH' b'EHUM' b'ENGL' b'HIST' b'AAAS' b'GSWS' b'AHST' b'PSCI' b'RELC'
 b'JPNS']","[0.98118925 0.14238667 0.04097116 0.04053726 0.03532142 0.0321219
 0.02313237 0.01842558 0.0169855  0.01606514]"
ANTH215,"[b'ANTH' b'BCSC' b'PSCI' b'PHLT' b'MUSC' b'ECON' b'PSYC' b'HIST' b'ENGL'
 b'PHIL']","[0.41324925 0.26391986 0.22066313 0.18476789 0.15002097 0.13305426
 0.12469204 0.12223759 0.12112262 0.1014647 ]"
ANTH216,"[b'ANTH' b'PSCI' b'ECON' b'GSWS' b'RELC' b'PSYC' b'INTR' b'ENGL' b'BCSC'
 b'AHST']","[0.9049713  0.43929717 0.42606404 0.3999294  0.35012838 0.31007746
 0.3024233  0.30236572 0.29658404 0.2780589 ]"
ANTH224,"[b'ANTH' b'SUST' b'HIST' b'AHST' b'GSWS' b'RELC' b'AAAS' b'ENGL' b'PSCI'
 b'PHIL']","[0.91194755 0.9043002  0.10554305 0.09754203 0.07830913 0.07732575
 0.06904966 0.04286639 0.04111318 0.0309552 ]"
